2023-05-08 20:39:26
frequency length dye thickness period laserPower tail waveplate fitness
0.4 18.0 1.0 50.0 2.0 0.5 1.0 45.0 0.040
3.1 18.0 0.2 90.0 3.0 1.0 1.0 112.5 0.154
2.2 18.0 0.2 90.0 2.0 3.5 0.0 30.0 0.086
3.1 12.0 1.0 50.0 2.0 2.0 1.0 60.0 0.304
0.9 18.0 1.0 50.0 3.0 4.0 0.0 90.0 1.736
1.5 18.0 1.0 50.0 2.0 3.5 1.0 90.0 1.210
3.9 6.0 1.0 90.0 1.0 0.5 0.0 30.0 0.002
4.3 18.0 0.2 50.0 2.0 1.5 1.0 97.5 0.090

2023-05-10 02:22:31
frequency length dye thickness period laserPower tail waveplate fitness
0.9 18.0 1.0 50.0 2.0 3.5 0.0 90.0 2.978
1.5 18.0 1.0 50.0 3.0 3.0 1.0 112.5 0.208
3.1 6.0 0.2 50.0 3.0 2.0 1.0 112.5 0.172
3.1 12.0 1.0 90.0 3.0 1.0 1.0 60.0 0.136
3.1 18.0 1.0 50.0 3.0 1.0 1.0 90.0 0.012
1.5 18.0 0.2 50.0 1.0 3.5 1.0 112.5 0.080
1.9 18.0 1.0 50.0 2.0 4.0 0.0 97.5 0.306
4.3 18.0 1.0 50.0 3.0 1.5 1.0 90.0 0.044

2023-05-10 06:34:19
frequency length dye thickness period laserPower tail waveplate fitness
0.9 12.0 0.2 50.0 2.0 2.0 0.0 90.0 0.014
3.1 18.0 0.2 50.0 3.0 4.0 1.0 60.0 0.340
0.9 6.0 0.2 50.0 3.0 3.5 1.0 112.5 0.472
3.1 18.0 0.2 90.0 2.0 2.0 0.0 90.0 0.106
0.9 18.0 1.0 50.0 3.0 3.5 1.0 37.5 2.464
1.5 18.0 1.0 90.0 2.0 4.0 0.0 90.0 1.332
1.6 18.0 1.0 50.0 2.0 2.0 1.0 60.0 0.392
3.5 12.0 1.0 50.0 2.0 3.5 1.0 90.0 0.516

2023-05-15 03:05:29
frequency length dye thickness period laserPower tail waveplate fitness
0.9 12.0 1.0 50.0 3.0 3.5 1.0 90.0 3.150
3.5 12.0 1.0 50.0 2.0 3.5 0.0 90.0 0.208
1.5 18.0 1.0 90.0 2.0 4.0 1.0 90.0 2.006
1.5 18.0 1.0 50.0 1.0 4.0 0.0 90.0 0.398
3.5 6.0 1.0 50.0 2.0 4.0 0.0 90.0 0.170
1.5 12.0 1.0 90.0 2.0 3.5 0.0 90.0 0.272
3.3 18.0 1.0 50.0 3.0 3.5 0.0 37.5 4.284
0.9 18.0 1.0 50.0 2.0 3.0 1.0 90.0 0.708

2023-05-18 01:04:51
frequency length dye thickness period laserPower tail waveplate fitness
3.3 18.0 0.2 50.0 3.0 2.5 1.0 37.5 0.356
0.9 18.0 1.0 50.0 3.0 3.5 0.0 37.5 1.000
0.9 18.0 1.0 50.0 2.0 3.5 0.0 37.5 5.032
0.9 18.0 0.2 50.0 3.0 3.5 1.0 52.5 0.330
0.9 12.0 0.2 50.0 3.0 3.5 0.0 37.5 0.436
3.3 18.0 1.0 50.0 1.0 3.5 1.0 90.0 0.012
0.9 12.0 1.0 50.0 3.0 2.5 0.0 37.5 1.986
3.3 18.0 1.0 50.0 3.0 4.0 1.0 90.0 1.278

