230506_0600mHz_18mm_0%2_90um_3mm_0500mW_0_082deg5_R2 a (speed [cm/min]) -0.03 b 2.962980743937637 chi2, rank, singular values, rcond (array([0.00094629]), 2, array([1.38468244, 0.28749704]), 1.2789769243681803e-13)
230506_0600mHz_18mm_0%2_90um_3mm_0500mW_0_082deg5_R3 a (speed [cm/min]) -0.03 b 2.9405085743735495 chi2, rank, singular values, rcond (array([0.00091109]), 2, array([1.38478922, 0.28698226]), 1.2789769243681803e-13)
230506_0600mHz_18mm_0%2_90um_3mm_0500mW_0_082deg5_R4 a (speed [cm/min]) -0.03 b 2.9196515982788434 chi2, rank, singular values, rcond (array([0.00090425]), 2, array([1.38461137, 0.28783913]), 1.2678746941219288e-13)
230506_0600mHz_18mm_0%2_90um_3mm_0500mW_0_082deg5_R5 a (speed [cm/min]) -0.03 b 2.893910868335524 chi2, rank, singular values, rcond (array([0.00073571]), 2, array([1.3849105 , 0.28639643]), 1.2567724638756772e-13)
230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_L1 a (speed [cm/min]) 0.0 b 2.3838261045403373 chi2, rank, singular values, rcond (array([0.00771008]), 2, array([1.3845162 , 0.28829654]), 1.7852386235972517e-13)
230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_L2 a (speed [cm/min]) 0.04 b 2.1005390132057746 chi2, rank, singular values, rcond (array([0.01871046]), 2, array([1.38352431, 0.29301959]), 1.716404796070492e-13)
230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_L3 a (speed [cm/min]) 0.3 b 1.8779326436399835 chi2, rank, singular values, rcond (array([0.00948122]), 2, array([1.38472402, 0.28729667]), 1.7719159473017498e-13)
230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_L4 a (speed [cm/min]) 0.35 b 2.549323414278944 chi2, rank, singular values, rcond (array([0.01052705]), 2, array([1.37672187, 0.32347628]), 1.389999226830696e-13)
230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_L5 a (speed [cm/min]) 0.3 b 2.703421238597224 chi2, rank, singular values, rcond (array([0.02715483]), 2, array([1.38494399, 0.28623444]), 1.7918999617450027e-13)
230506_0700mHz_06mm_0%2_90um_1mm_4000mW_0_037deg5_R1 a (speed [cm/min]) 0.55 b 2.7541154497665956 chi2, rank, singular values, rcond (array([0.02396892]), 2, array([1.38471813, 0.28732509]), 1.6897594434794883e-13)
